Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top7,2023,6,June,2023-06,2023-06-02 03:30:00,2023-06-30 09:00:00,133484.62639926403,136695.43492230258,2.4053770158031007,-2.5972486406094952,14.645351377995503,5,60.0,226782.64296823728,,,
top7,2023,7,July,2023-07,2023-07-01 07:00:00,2023-07-28 07:00:00,136695.43492230258,142886.9933472498,4.529455155884676,0.0,7.67393104104675,6,33.33333333333333,237054.66108281363,,,
top7,2023,8,August,2023-08,2023-08-01 03:30:00,2023-08-31 20:45:00,142886.9933472498,144814.36733795976,1.348879940405756,-0.205317440401509,7.6155330956827525,2,0.0,240252.24385395658,,,
top7,2023,9,September,2023-09,2023-09-02 07:00:00,2023-09-30 07:00:00,144814.36733795976,148315.1741317205,2.417444386295431,0.0,7.38330169343958,2,0.0,246060.20823595283,,,
top7,2023,10,October,2023-10,2023-10-04 10:00:00,2023-10-30 20:45:00,148315.1741317205,149461.26202584006,0.7727381239506226,0.0,2.0871663225349035,2,50.0,247961.60927286433,,,
top7,2023,11,November,2023-11,2023-11-01 07:00:00,2023-11-29 07:00:00,149461.26202584006,201959.70010288982,35.12511360165915,-10.09034807182122,101.44708883326199,5,80.0,335058.4062184601,,,
top7,2023,12,December,2023-12,2023-12-03 08:45:00,2023-12-31 07:00:00,201959.70010288982,224453.81952265368,11.137924748503814,-2.3829742814645893,24.090591002100282,5,60.0,372376.9593666084,,,
top7,2024,1,January,2024-01,2024-01-01 13:45:00,2024-01-28 03:30:00,224453.81952265368,251982.81062489699,12.264879769383864,-1.1400026820364562,18.183384123786606,5,40.0,418048.54572181037,,,
top7,2024,2,February,2024-02,2024-02-01 03:30:00,2024-02-29 08:00:00,251982.81062489699,285154.90753170114,13.164428488014735,-1.982533247414664,21.553126792895107,4,50.0,473082.24756854365,,,
top7,2024,3,March,2024-03,2024-03-01 14:00:00,2024-03-29 12:00:00,285154.90753170114,368315.91221533634,29.163448528196923,-9.46934455938029,59.761634753022406,7,71.42857142857143,611049.345334233,,,
top7,2024,4,April,2024-04,2024-04-01 03:30:00,2024-04-30 03:00:00,368315.91221533634,373974.5795638205,1.5363624434384437,-5.749064497180456,31.284232657513133,5,0.0,620437.2779868246,,,
top7,2024,5,May,2024-05,2024-05-01 05:00:00,2024-05-31 03:30:00,373974.5795638205,403378.85200635105,7.862639347526179,-4.132917565693894,23.789956312036235,3,66.66666666666666,669220.0235325372,,,
top7,2024,6,June,2024-06,2024-06-01 07:00:00,2024-06-28 08:00:00,403378.85200635105,427152.582520575,5.8936482158092,-1.1102230246251565e-14,15.010291578202843,4,50.0,708661.4975093005,,,
top7,2024,7,July,2024-07,2024-07-02 07:00:00,2024-07-30 13:00:00,427152.582520575,432089.4169898645,1.1557543302577855,-4.031227388333147,24.3020172158872,3,33.33333333333333,716851.8834536339,,,
top7,2024,8,August,2024-08,2024-08-03 10:30:00,2024-08-31 15:00:00,432089.4169898645,386545.2490437751,-10.54044976694204,-18.143447703728977,94.92338677831917,4,50.0,641292.4707748258,,,
top7,2024,9,September,2024-09,2024-09-04 12:00:00,2024-09-29 11:45:00,386545.2490437751,386983.3683939608,0.11334231924193805,-7.216553672674985,34.37257451846794,5,40.0,642019.326534326,,,
top7,2024,10,October,2024-10,2024-10-02 04:00:00,2024-10-30 12:30:00,386983.3683939608,433383.2870436178,11.990158347689107,-1.84505812060356,22.732715250118847,7,57.14285714285714,718998.4604085587,,,
top7,2024,11,November,2024-11,2024-11-03 11:30:00,2024-11-28 18:45:00,433383.2870436178,619496.287367109,42.9442034078162,-2.543573925988696,59.76700571608929,6,83.33333333333334,1027766.6217454771,,,
top7,2024,12,December,2024-12,2024-12-01 17:30:00,2024-12-30 14:30:00,619496.287367109,755726.6076101777,21.990498251741684,-3.054696327379791,22.36498079630858,6,66.66666666666666,1253777.622732401,,,
top7,2025,1,January,2025-01,2025-01-02 07:00:00,2025-01-30 12:30:00,755726.6076101777,804788.1019875725,6.491963348034169,-15.576161739558126,102.18972994046665,4,25.0,1335172.4064660424,,,
top7,2025,2,February,2025-02,2025-02-03 13:00:00,2025-02-28 14:15:00,804788.1019875725,1006440.0705444843,25.056529545963112,-0.4294731489375758,28.07930443068831,4,50.0,1669720.2749817532,,,
top7,2025,3,March,2025-03,2025-03-01 19:15:00,2025-03-06 05:30:00,1006440.0705444843,1031945.2027953583,2.5341928443961548,-1.9732878820758581,25.183356473218694,2,100.0,1712034.2067117726,,,
