Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top8,2023,10,October,2023-10,2023-10-04 07:00:00,2023-10-31 22:30:00,47736.36084852169,49801.882939242816,4.326936645370805,-2.790611248767416,17.6933811642219,6,50.0,63703.4230287767,,,
top8,2023,11,November,2023-11,2023-11-01 12:00:00,2023-11-30 02:45:00,49801.882939242816,53539.25691873283,7.504483282388197,-0.476329937100195,11.517925566302495,4,50.0,68484.03576028027,,,
top8,2023,12,December,2023-12,2023-12-03 12:00:00,2023-12-31 07:00:00,53539.25691873283,58088.9718765225,8.497904565047797,-1.9265927310548214,18.096360735591038,5,40.0,74303.7437614821,,,
top8,2024,1,January,2024-01,2024-01-01 13:00:00,2024-01-28 12:30:00,58088.9718765225,56760.5480431346,-2.2868778538750467,-4.4243116037816055,20.197900048745723,3,33.33333333333333,72604.5079008007,,,
top8,2024,2,February,2024-02,2024-02-01 02:30:00,2024-02-29 03:30:00,56760.5480431346,63917.46081108762,12.608956422538764,-3.489165684136597,20.573669051877534,6,50.0,81759.17866281138,,,
top8,2024,3,March,2024-03,2024-03-01 12:00:00,2024-03-29 12:00:00,63917.46081108762,65961.96919712621,3.198669596843451,-5.440140945775562,23.297744363599733,5,20.0,84374.38465332765,,,
top8,2024,4,April,2024-04,2024-04-01 07:00:00,2024-04-29 03:30:00,65961.96919712621,68686.2717338766,4.130110986542657,-3.675482342191849,24.410040766883675,4,25.0,87859.1403837225,,,
top8,2024,5,May,2024-05,2024-05-03 12:00:00,2024-05-31 17:00:00,68686.2717338766,74771.2752961733,8.859126298007446,-1.1102230246251565e-14,18.137804909206377,4,0.0,95642.69259466013,,,
top8,2024,6,June,2024-06,2024-06-04 17:30:00,2024-06-28 08:00:00,74771.2752961733,85015.706748919,13.70102544348335,-0.13502112129363253,26.674451509712892,6,66.66666666666666,108746.72224188707,,,
top8,2024,7,July,2024-07,2024-07-02 12:30:00,2024-07-30 02:30:00,85015.706748919,88907.23953260576,4.577428021835805,-2.174789630746232,19.000409854307836,2,0.0,113724.52517861516,,,
top8,2024,8,August,2024-08,2024-08-01 13:00:00,2024-08-31 15:00:00,88907.23953260576,88139.21776943901,-0.8638461470677927,-7.687863595908984,35.71650565160594,3,66.66666666666666,112742.12024958855,,,
top8,2024,9,September,2024-09,2024-09-02 04:00:00,2024-09-30 03:45:00,88139.21776943901,93572.49389432526,6.164425170074694,-0.8113553261570816,9.212553066049841,5,40.0,119692.02388753006,,,
top8,2024,10,October,2024-10,2024-10-01 03:30:00,2024-10-30 02:30:00,93572.49389432526,95542.65330794551,2.1054899058747134,-3.2316472169320876,20.578107309923677,3,0.0,122212.12736861916,,,
top8,2024,11,November,2024-11,2024-11-01 11:15:00,2024-11-28 22:00:00,95542.65330794551,109525.13902374654,14.634809932202518,-6.5477029229261685,31.870456968482962,4,50.0,140097.63992311782,,,
top8,2024,12,December,2024-12,2024-12-01 07:00:00,2024-12-31 05:00:00,109525.13902374654,115170.79267351089,5.154664673413745,-6.440140848717501,22.783495764277024,6,50.0,147319.2034765212,,,
top8,2025,1,January,2025-01,2025-01-02 11:00:00,2025-01-30 12:00:00,115170.79267351089,121610.68711255047,5.59160381685968,-6.94235831754434,70.50250590542682,3,33.33333333333333,155556.70968108161,,,
top8,2025,2,February,2025-02,2025-02-02 19:15:00,2025-02-26 19:15:00,121610.68711255047,118480.93649122897,-2.573581891223853,-6.707517637113359,38.44289481138637,4,50.0,151553.33037014565,,,
top8,2025,3,March,2025-03,2025-03-03 11:45:00,2025-03-04 14:15:00,118480.93649122897,124283.38225873247,4.897366563213357,0.0,21.089769571052432,1,100.0,158975.45249712942,,,
