Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,High Equity,Low Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top6,2023,12,December,2023-12,2023-12-01 01:30:00,2023-12-31 12:00:00,318113.48475174495,350735.4903576093,481003.9850679605,436265.6705012446,10.254832683789704,-2.406739259342139,18.079289068786057,8,75.0,443319.857460047,,,
top6,2024,1,January,2024-01,2024-01-01 12:30:00,2024-01-31 19:15:00,350735.4903576093,421056.10045040725,587912.885574923,489725.5116102147,20.04947090501141,-1.1400026820364562,19.247855885908454,7,42.857142857142854,532203.1432976371,,,
top6,2024,2,February,2024-02,2024-02-01 07:00:00,2024-02-29 04:00:00,421056.10045040725,450854.16969559924,639914.9849131005,587912.885574923,7.076983141514104,-3.489165684136597,18.89412410372898,5,40.0,569867.0700274191,,,
top6,2024,3,March,2024-03,2024-03-01 09:15:00,2024-03-28 12:30:00,450854.16969559924,441560.21436479734,637311.5891434329,602403.7245382894,-2.061410530388763,-5.477362282405817,26.08070937920815,4,50.0,558119.770236656,,,
top6,2024,4,April,2024-04,2024-04-01 03:30:00,2024-04-29 14:30:00,441560.21436479734,419779.5900675337,602403.7245382894,569488.9903118773,-4.932650992706844,-5.463899522141801,22.469883637730284,4,25.0,530589.6698495843,,,
top6,2024,5,May,2024-05,2024-05-01 05:00:00,2024-05-31 08:30:00,419779.5900675337,440433.08583424037,593291.6246038701,565470.0406872834,4.920080979493058,0.0,9.364248587206287,4,25.0,556695.1112750089,,,
top6,2024,6,June,2024-06,2024-06-04 14:00:00,2024-06-29 07:00:00,440433.08583424037,489454.3765851725,670513.8183988453,593291.6246038701,11.130247097145096,-6.719039289253404,42.91087273874876,5,60.0,618656.6527376442,,,
top6,2024,7,July,2024-07,2024-07-02 12:30:00,2024-07-31 13:15:00,489454.3765851725,475107.86046141956,659326.4484289474,551380.2009794151,-2.931124290653142,-16.372200403419,54.57086244241975,6,50.0,600523.0573135094,,,
top6,2024,8,August,2024-08,2024-08-01 21:00:00,2024-08-31 15:00:00,475107.86046141956,537007.3512451487,708971.6434779848,623872.303456835,13.028513298772415,-0.5385340913196646,26.480409121047288,5,40.0,678762.2836977947,,,
top6,2024,9,September,2024-09,2024-09-02 04:00:00,2024-09-30 05:15:00,537007.3512451487,596199.0597510239,790281.2488162819,711820.7136099244,11.022513633868991,0.0,11.136348514083688,4,25.0,753578.9489599447,,,
top6,2024,10,October,2024-10,2024-10-01 03:30:00,2024-10-30 12:00:00,596199.0597510239,708935.1420712583,956597.841508255,804478.0119106506,18.90913453760119,-2.0868806789251737,20.27610419344363,8,75.0,896074.2062658216,,,
top6,2024,11,November,2024-11,2024-11-01 14:00:00,2024-11-28 22:00:00,708935.1420712583,821546.540891148,1061412.4798304664,911822.3751319471,15.884584094798715,-0.5871431875474231,15.555946916723443,6,66.66666666666666,1038411.8671119161,,,
top6,2024,12,December,2024-12,2024-12-01 07:00:00,2024-12-25 11:30:00,821546.540891148,948025.7051576782,1240395.0122679162,1056661.5671049722,15.395252486771561,-3.0541481333330123,22.50586481667424,3,66.66666666666666,1198277.9959063942,,,
top6,2025,1,January,2025-01,2025-01-01 14:00:00,2025-01-30 15:30:00,948025.7051576782,950211.0619608352,1303406.198235345,1217726.312079085,0.23051661903972231,-6.573536804739788,26.792391498439606,6,50.0,1201040.2258292546,,,
top6,2025,2,February,2025-02,2025-02-03 13:00:00,2025-02-28 16:45:00,950211.0619608352,1058395.1734383265,1361292.9358433755,1222148.058371594,11.385271736812319,-0.4391704525802176,24.59038536247186,4,25.0,1337781.9192083396,,,
top6,2025,3,March,2025-03,2025-03-02 16:45:00,2025-03-05 16:00:00,1058395.1734383265,1112293.8030746605,1463270.021110776,1392364.070985199,5.092486340544977,0.0,12.753473033376784,2,50.0,1405908.2807103046,,,
