Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return
top6,2024,5,May,2024-05,2024-05-01 02:00:00,2024-05-31 12:30:00,311055.2552862611,354393.7219922536,13.932722874625147,-4.727464186515973,35.610668253663924,4,50.0,323785.4552907628
top6,2024,6,June,2024-06,2024-06-01 19:00:00,2024-06-28 14:30:00,354831.7621658457,342424.3504016015,-3.4967026876373763,-7.92591327026032,35.818833127340326,5,40.0,312463.6405734318
top6,2024,7,July,2024-07,2024-07-02 07:00:00,2024-07-31 14:15:00,342424.3504016015,338624.18525078974,-1.1097823932073925,-10.017783630777776,42.501397384353886,5,40.0,308995.9741051731
top6,2024,8,August,2024-08,2024-08-03 07:00:00,2024-08-31 10:00:00,338624.18525078974,252879.4429141595,-25.321505690187628,-25.321505690187628,62.5586236768448,4,0.0,230753.54093968097
top6,2024,9,September,2024-09,2024-09-01 17:00:00,2024-09-30 05:30:00,254453.97753211582,300953.9314725667,18.274406394210075,-1.5009313758939213,18.47954655779534,6,83.33333333333334,272922.38078002824
top6,2024,10,October,2024-10,2024-10-02 13:00:00,2024-10-30 09:00:00,300953.9314725667,335148.78407393605,11.362155142501074,-0.8022287041600462,13.903158036968335,3,66.66666666666666,303932.24510286254
top6,2024,11,November,2024-11,2024-11-02 01:00:00,2024-11-30 12:45:00,345022.4021107378,396993.5749860668,15.063129975730781,-2.03660600510972,16.955672426911573,5,80.0,349713.9542208634
top6,2024,12,December,2024-12,2024-12-01 14:15:00,2024-12-30 20:45:00,401434.3931405998,506853.2978842026,26.260556281404757,-2.8343736691569643,22.623182315832857,6,66.66666666666666,441550.7839929593
top6,2025,1,January,2025-01,2025-01-02 11:30:00,2025-01-31 12:30:00,506853.2978842026,491579.9020348708,-3.0133760425528955,-8.25119730480235,32.34657920011333,6,33.33333333333333,428245.198452411
top6,2025,2,February,2025-02,2025-02-02 14:45:00,2025-02-28 11:30:00,357120.6507173565,354890.97828896216,-0.6243471005990653,-8.218905027476698,48.62962595145287,4,75.0,425571.46197241865
top6,2025,3,March,2025-03,2025-03-01 08:30:00,2025-03-06 06:00:00,355837.67010600475,372349.77778142673,4.640348412382256,-2.4076066268442387,37.191555880215304,2,50.0,445319.4605516077
