Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top5,2023,1,January,2023-01,2023-01-01 08:00:00,2023-01-29 03:30:00,254109.3541411504,284334.5172373343,11.89454957230527,-2.150480214241779,12.809055973679454,5,80.0
top5,2023,2,February,2023-02,2023-02-02 12:00:00,2023-02-27 03:00:00,284334.5172373343,293658.46104547096,3.2792162902803623,0.0,10.859340105939404,3,0.0
top5,2023,3,March,2023-03,2023-03-01 22:15:00,2023-03-31 14:15:00,298306.37956685195,315534.95932203426,5.775464735349822,-0.5773578413966307,13.136336948702185,4,25.0
top5,2023,4,April,2023-04,2023-04-01 22:45:00,2023-04-27 03:30:00,324329.15658962383,343349.3182366189,5.864462463688214,-1.490615497287251,14.861806713461922,5,60.0
top5,2023,5,May,2023-05,2023-05-01 14:45:00,2023-05-29 07:00:00,343349.3182366189,353318.70397264976,2.9035693990108635,-0.0580948573921547,6.119251567183931,4,50.0
top5,2023,6,June,2023-06,2023-06-02 03:30:00,2023-06-30 03:30:00,353318.70397264976,354595.5199877699,0.36137798558746326,-1.8274889573841713,11.542002719807867,2,0.0
top5,2023,7,July,2023-07,2023-07-04 07:00:00,2023-07-29 02:30:00,354595.5199877699,387293.9365787942,9.221328174747413,-4.32078975473742,34.022724058211004,5,40.0
top5,2023,8,August,2023-08,2023-08-01 02:30:00,2023-08-29 12:00:00,387293.9365787942,395515.1913137319,2.122742950112033,0.0,5.220969802842398,4,50.0
top5,2023,9,September,2023-09,2023-09-02 08:00:00,2023-09-30 12:00:00,395515.1913137319,388704.9197734352,-1.72187356892054,-4.696656765489204,33.85661187611207,3,0.0
top5,2023,10,October,2023-10,2023-10-04 03:00:00,2023-10-31 16:45:00,388704.9197734352,405316.3263084564,4.273526186574506,-1.1102230246251565e-14,7.599369229748532,3,66.66666666666666
top5,2023,11,November,2023-11,2023-11-01 07:15:00,2023-11-29 07:00:00,407123.35961033567,475059.8647406898,16.686958271168038,-2.7306992300787702,27.63928526244924,4,50.0
top5,2023,12,December,2023-12,2023-12-03 08:00:00,2023-12-31 06:45:00,475059.8647406898,465179.0973425086,-2.0798994256386205,-9.599332717307352,36.8380408081689,4,50.0
