Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top4,2024,2,February,2024-02,2024-02-04 14:30:00,2024-02-29 14:00:00,964577.4299117445,972258.2800753736,0.7962917154646476,-5.8818541443825705,22.06786512177872,7,42.857142857142854,1292251.822023049,,,
top4,2024,3,March,2024-03,2024-03-01 10:00:00,2024-03-31 00:15:00,972258.2800753736,1074213.69042524,10.486453285022401,-7.992400753587702,32.39094828761153,7,42.857142857142854,1427763.205664347,,,
top4,2024,4,April,2024-04,2024-04-01 02:30:00,2024-04-29 12:30:00,1074213.69042524,1302258.285304185,21.22897863912634,0.0,29.132049680748377,4,25.0,1730862.7516121366,,,
top4,2024,5,May,2024-05,2024-05-01 18:15:00,2024-05-31 14:30:00,1302258.285304185,1476523.0197186815,13.381733591642408,0.0,19.497146623726046,3,0.0,1962482.1938698438,,,
top4,2024,6,June,2024-06,2024-06-04 03:30:00,2024-06-30 11:15:00,1476523.0197186815,1676065.765887467,13.514367436465967,-2.220446049250313e-14,22.24203889260544,5,60.0,2227699.248424633,,,
top4,2024,7,July,2024-07,2024-07-01 03:15:00,2024-07-30 13:00:00,1676065.765887467,1364247.6890818744,-18.60416716049842,-22.360644381062677,76.79661325519174,6,50.0,1813254.3564145474,,,
top4,2024,8,August,2024-08,2024-08-03 12:30:00,2024-08-31 07:00:00,1364247.6890818744,1344308.0439982596,-1.4615854029435105,-10.319808508908368,51.48700005382323,3,33.33333333333333,1786752.095422955,,,
top4,2024,9,September,2024-09,2024-09-01 14:45:00,2024-09-30 11:30:00,1344308.0439982596,1569688.462124546,16.765533698359558,-0.9284022966136507,19.22590662629221,6,50.0,2086310.620087236,,,
top4,2024,10,October,2024-10,2024-10-02 15:00:00,2024-10-30 03:30:00,1569688.462124546,1787423.0535462508,13.871197799785362,-2.7735830912808845,20.98004783443708,6,50.0,2375706.892917465,,,
top4,2024,11,November,2024-11,2024-11-01 11:00:00,2024-11-27 02:00:00,1787423.0535462508,1836513.1455949668,2.746417080798036,-3.1936025340335683,23.376272430251102,5,20.0,2440953.712814247,,,
top4,2024,12,December,2024-12,2024-12-01 06:45:00,2024-12-30 20:45:00,1836513.1455949668,2170895.1253261548,18.20743731310781,-12.331339203687264,84.3464254337007,9,66.66666666666666,2885388.8299168786,,,
top4,2025,1,January,2025-01,2025-01-02 17:00:00,2025-01-31 11:15:00,2170895.1253261548,2266861.696093472,4.420599118204738,-11.499175099931291,96.67508484147007,4,50.0,3012940.303088962,,,
top4,2025,2,February,2025-02,2025-02-01 00:15:00,2025-02-27 11:30:00,2266861.696093472,2351393.7698886627,3.729035341717868,-12.197320759367758,54.77283870478502,6,50.0,3125293.9118160107,,,
top4,2025,3,March,2025-03,2025-03-03 12:30:00,2025-03-06 06:45:00,2351393.7698886627,2471773.991687959,5.119526271645958,0.0,19.130807937541658,1,100.0,3285294.154697583,,,
