normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
291,ATOMUSDT,185,2021-08-27 12:00:00 to 2021-08-29 12:00:00,6.677706103676447,290
293,BAKEUSDT,31,2021-09-01 07:00:00 to 2021-09-03 07:00:00,5.530878478445411,292
295,XMRUSDT,189,2021-09-04 08:00:00 to 2021-09-06 08:00:00,0.0,294
296,SXPUSDT,133,2021-09-05 09:00:00 to 2021-09-07 09:00:00,-0.6520864802590768,295
297,SXPUSDT,134,2021-09-08 09:00:00 to 2021-09-10 09:00:00,0.0,296
299,LTCUSDT,200,2021-09-12 08:00:00 to 2021-09-14 08:00:00,-0.7065925519662051,298
300,ADAUSDT,193,2021-09-13 08:00:00 to 2021-09-15 08:00:00,-0.5968352513469108,299
301,ADAUSDT,194,2021-09-16 08:00:00 to 2021-09-18 08:00:00,0.0,300
302,AVAXUSDT,116,2021-09-18 07:00:00 to 2021-09-20 07:00:00,-0.8144621654246293,301
303,SXPUSDT,138,2021-09-20 09:00:00 to 2021-09-22 09:00:00,-12.31075936966281,302
304,ALGOUSDT,150,2021-09-21 09:00:00 to 2021-09-23 09:00:00,14.28819748804266,303
305,MKRUSDT,132,2021-09-25 07:00:00 to 2021-09-27 07:00:00,2.0715415197461153,304
307,ADAUSDT,198,2021-09-28 08:00:00 to 2021-09-30 08:00:00,0.6740344928383456,306
308,BNBUSDT,195,2021-09-29 08:00:00 to 2021-10-01 08:00:00,0.0,307
309,AVAXUSDT,121,2021-10-03 07:00:00 to 2021-10-05 07:00:00,0.6935320612210489,308
310,DOGEUSDT,146,2021-10-03 09:00:00 to 2021-10-05 09:00:00,0.0,309
311,LTCUSDT,208,2021-10-06 08:00:00 to 2021-10-08 08:00:00,0.0,310
313,SNXUSDT,137,2021-10-11 07:00:00 to 2021-10-13 07:00:00,-3.789713393605889,312
315,GRTUSDT,96,2021-10-15 07:00:00 to 2021-10-17 07:00:00,1.728775759878408,314
317,LTCUSDT,212,2021-10-18 08:00:00 to 2021-10-20 08:00:00,1.175063469989418,316
318,SNXUSDT,140,2021-10-20 07:00:00 to 2021-10-22 07:00:00,0.8471445663923077,317
319,ADAUSDT,206,2021-10-22 08:00:00 to 2021-10-24 08:00:00,0.4345213389121272,318
320,ATOMUSDT,204,2021-10-23 12:00:00 to 2021-10-25 12:00:00,1.0757533196684927,319
321,XLMUSDT,211,2021-10-26 08:00:00 to 2021-10-28 08:00:00,-5.613846734631971,320
322,LTCUSDT,215,2021-10-27 08:00:00 to 2021-10-29 08:00:00,2.306416230186187,321
323,YFIUSDT,138,2021-10-31 07:00:00 to 2021-11-02 07:00:00,0.0,322
325,ZENUSDT,111,2021-11-04 07:00:00 to 2021-11-06 07:00:00,0.0,324
326,GRTUSDT,103,2021-11-05 07:00:00 to 2021-11-07 07:00:00,3.9260898587626434,325
327,BNBUSDT,208,2021-11-07 08:00:00 to 2021-11-09 08:00:00,1.057365888892382,326
328,ALGOUSDT,166,2021-11-08 09:00:00 to 2021-11-10 09:00:00,0.3387507432326674,327
329,DOGEUSDT,159,2021-11-11 09:00:00 to 2021-11-13 09:00:00,0.5393827199246698,328
331,ADAUSDT,214,2021-11-15 08:00:00 to 2021-11-17 08:00:00,5.01574535197913,330
332,BNBUSDT,211,2021-11-16 08:00:00 to 2021-11-18 08:00:00,-5.217457628755892,331
333,ATOMUSDT,213,2021-11-19 12:00:00 to 2021-11-21 12:00:00,0.0,332
334,DYDXUSDT,20,2021-11-21 03:30:00 to 2021-11-23 03:30:00,0.0,333
335,YFIUSDT,146,2021-11-24 07:00:00 to 2021-11-26 07:00:00,0.9533148099947902,334
336,ADAUSDT,217,2021-11-24 08:00:00 to 2021-11-26 08:00:00,-1.1362163378571313,335
337,CTSIUSDT,7,2021-11-28 03:30:00 to 2021-11-30 03:30:00,2.746609067456211,336
338,COMPUSDT,168,2021-11-28 09:00:00 to 2021-11-30 09:00:00,0.0,337
339,COMPUSDT,169,2021-12-01 09:00:00 to 2021-12-03 09:00:00,0.3876567703482942,338
340,SFPUSDT,90,2021-12-03 07:00:00 to 2021-12-05 07:00:00,-17.66239320583647,339
341,BAKEUSDT,63,2021-12-06 07:00:00 to 2021-12-08 07:00:00,0.0,340
343,ADAUSDT,222,2021-12-09 08:00:00 to 2021-12-11 08:00:00,0.0,342
345,ATOMUSDT,221,2021-12-13 12:00:00 to 2021-12-15 12:00:00,0.7866915197156231,344
347,YFIUSDT,154,2021-12-18 07:00:00 to 2021-12-20 07:00:00,1.7828279246270722,346
349,ADAUSDT,226,2021-12-21 08:00:00 to 2021-12-23 08:00:00,0.0,348
350,XLMUSDT,230,2021-12-22 08:00:00 to 2021-12-24 08:00:00,0.0,349
351,ATOMUSDT,225,2021-12-25 12:00:00 to 2021-12-27 12:00:00,1.9723523805950576,350
353,SFPUSDT,99,2021-12-30 07:00:00 to 2022-01-01 07:00:00,1.8774333667430256,352
355,CTSIUSDT,19,2022-01-03 03:30:00 to 2022-01-05 03:30:00,0.0,354
357,GRTUSDT,124,2022-01-07 07:00:00 to 2022-01-09 07:00:00,4.81611780049514,356
359,SFPUSDT,103,2022-01-11 07:00:00 to 2022-01-13 07:00:00,0.0,358
361,SNXUSDT,169,2022-01-15 07:00:00 to 2022-01-17 07:00:00,0.0,360
362,ATOMUSDT,232,2022-01-15 12:00:00 to 2022-01-17 12:00:00,0.0,361
