normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
316,BAKEUSDT,6,2021-06-18 07:00:00 to 2021-06-20 07:00:00,-3.4275685810066534,315
317,MKRUSDT,100,2021-06-21 07:00:00 to 2021-06-23 07:00:00,1.159628956760698,316
318,DASHUSDT,164,2021-06-22 08:00:00 to 2021-06-24 08:00:00,0.6607677872622116,317
319,LINKUSDT,171,2021-06-25 08:00:00 to 2021-06-27 08:00:00,1.619672105499576,318
320,KSMUSDT,81,2021-06-26 07:00:00 to 2021-06-28 07:00:00,0.0,319
321,KNCUSDT,120,2021-06-29 08:45:00 to 2021-07-01 08:45:00,4.116298536665126,320
322,BANDUSDT,108,2021-06-30 07:00:00 to 2021-07-02 07:00:00,3.3779217769770544,321
323,IOTAUSDT,165,2021-07-03 08:00:00 to 2021-07-05 08:00:00,0.4644043530834278,322
325,SUSHIUSDT,98,2021-07-07 07:00:00 to 2021-07-09 07:00:00,-1.7817730297575691,324
326,DOGEUSDT,117,2021-07-08 09:00:00 to 2021-07-10 09:00:00,-2.099870083022779,325
327,ZECUSDT,170,2021-07-11 08:00:00 to 2021-07-13 08:00:00,0.746630113796673,326
328,MKRUSDT,107,2021-07-12 07:00:00 to 2021-07-14 07:00:00,-5.152668547949234,327
329,BTCUSDT,221,2021-07-14 17:45:00 to 2021-07-16 17:45:00,3.266978038819325,328
330,RUNEUSDT,101,2021-07-16 07:00:00 to 2021-07-18 07:00:00,-7.964914878159561,329
331,EOSUSDT,182,2021-07-19 08:00:00 to 2021-07-21 08:00:00,-0.3073453501721996,330
332,LTCUSDT,182,2021-07-20 08:00:00 to 2021-07-22 08:00:00,0.2378708963419376,331
333,ZECUSDT,174,2021-07-23 08:00:00 to 2021-07-25 08:00:00,0.0,332
334,SANDUSDT,56,2021-07-24 07:00:00 to 2021-07-26 07:00:00,0.4700710100173091,333
335,OGNUSDT,35,2021-07-27 07:00:00 to 2021-07-29 07:00:00,2.962130652709966,334
337,LINKUSDT,183,2021-07-31 08:00:00 to 2021-08-02 08:00:00,5.511666610128195,336
339,NKNUSDT,35,2021-08-04 07:00:00 to 2021-08-06 07:00:00,4.0787305448858575,338
340,SKLUSDT,76,2021-08-05 07:30:00 to 2021-08-07 07:30:00,4.223739518604198,339
341,DOTUSDT,113,2021-08-08 07:00:00 to 2021-08-10 07:00:00,0.7757546594993437,340
343,ZILUSDT,136,2021-08-12 09:00:00 to 2021-08-14 09:00:00,2.063908369534456,342
345,LINAUSDT,46,2021-08-16 07:00:00 to 2021-08-18 07:00:00,-1.9852628704887685,344
346,OGNUSDT,42,2021-08-17 07:00:00 to 2021-08-19 07:00:00,2.67450475816644,345
347,SFPUSDT,55,2021-08-20 07:00:00 to 2021-08-22 07:00:00,0.0,346
348,SUSHIUSDT,113,2021-08-21 07:00:00 to 2021-08-23 07:00:00,4.685943166423203,347
349,MANAUSDT,50,2021-08-24 07:00:00 to 2021-08-26 07:00:00,4.324013855222347,348
351,KAVAUSDT,128,2021-08-28 07:00:00 to 2021-08-30 07:00:00,0.0,350
353,ADAUSDT,189,2021-09-01 08:00:00 to 2021-09-03 08:00:00,1.7109586032580777,352
355,RUNEUSDT,118,2021-09-05 07:00:00 to 2021-09-07 07:00:00,1.6055708476413928,354
357,ALGOUSDT,146,2021-09-09 09:00:00 to 2021-09-11 09:00:00,6.5053659186120605,356
359,IOTAUSDT,189,2021-09-13 08:00:00 to 2021-09-15 08:00:00,3.0948041010301313,358
361,MASKUSDT,3,2021-09-17 03:30:00 to 2021-09-19 03:30:00,1.0381228059645582,360
363,GTCUSDT,30,2021-09-21 03:30:00 to 2021-09-23 03:30:00,3.441343378431193,362
365,1000SHIBUSDT,42,2021-09-25 17:30:00 to 2021-09-27 17:30:00,1.5911381195953436,364
367,RSRUSDT,111,2021-09-29 07:00:00 to 2021-10-01 07:00:00,0.0,366
368,GRTUSDT,91,2021-09-30 07:00:00 to 2021-10-02 07:00:00,0.0,367
369,BCHUSDT,214,2021-10-03 08:45:00 to 2021-10-05 08:45:00,1.4645359624900265,368
370,XTZUSDT,198,2021-10-04 08:00:00 to 2021-10-06 08:00:00,0.1753247051068501,369
371,1000SHIBUSDT,46,2021-10-07 17:30:00 to 2021-10-09 17:30:00,-17.047394098676612,370
373,1000XECUSDT,4,2021-10-11 03:30:00 to 2021-10-13 03:30:00,5.451690211773148,372
374,CHZUSDT,84,2021-10-12 07:00:00 to 2021-10-14 07:00:00,0.8654673491728682,373
375,QTUMUSDT,197,2021-10-15 08:00:00 to 2021-10-17 08:00:00,1.7413949522045915,374
377,SANDUSDT,85,2021-10-19 07:00:00 to 2021-10-21 07:00:00,0.0,376
378,ETHUSDT,227,2021-10-20 07:45:00 to 2021-10-22 07:45:00,0.0,377
379,DASHUSDT,205,2021-10-23 08:00:00 to 2021-10-25 08:00:00,0.8762971122664385,378
380,COTIUSDT,72,2021-10-24 07:00:00 to 2021-10-26 07:00:00,0.4678881500941861,379
381,RLCUSDT,147,2021-10-27 07:00:00 to 2021-10-29 07:00:00,-5.476973324984756,380
383,AXSUSDT,111,2021-10-31 07:00:00 to 2021-11-02 07:00:00,2.205511543722514,382
385,ZRXUSDT,162,2021-11-04 09:00:00 to 2021-11-06 09:00:00,1.2575454545454705,384
386,NKNUSDT,66,2021-11-05 07:00:00 to 2021-11-07 07:00:00,1.404037922395546,385
387,RLCUSDT,151,2021-11-08 07:00:00 to 2021-11-10 07:00:00,1.4488740581270212,386
389,NEARUSDT,127,2021-11-12 08:00:00 to 2021-11-14 08:00:00,-5.473236164166555,388
390,ZENUSDT,114,2021-11-13 07:00:00 to 2021-11-15 07:00:00,3.0071923042948945,389
391,CTSIUSDT,3,2021-11-16 03:30:00 to 2021-11-18 03:30:00,-0.1962417663773522,390
393,EGLDUSDT,140,2021-11-20 07:00:00 to 2021-11-22 07:00:00,1.8836674117121035,392
