normalized_period,symbol,original_period,out_sample_range,winning_trades,total_trades,win_rate,net_profit,selected_based_on_period
462,CHRUSDT,126,2022-04-06 07:00:00 to 2022-04-08 07:00:00,1,1,100.0,6.2998771379640495,461
463,IOTXUSDT,76,2022-04-09 03:30:00 to 2022-04-11 03:30:00,0,0,0.0,0.0,462
465,CHZUSDT,145,2022-04-13 07:00:00 to 2022-04-15 07:00:00,1,1,100.0,1.5252060561506076,464
466,ADAUSDT,264,2022-04-14 08:00:00 to 2022-04-16 08:00:00,0,0,0.0,0.0,465
467,SKLUSDT,161,2022-04-17 07:30:00 to 2022-04-19 07:30:00,0,1,0.0,-0.8599637560713025,466
469,ETHUSDT,288,2022-04-21 07:45:00 to 2022-04-23 07:45:00,0,0,0.0,0.0,468
471,ENJUSDT,187,2022-04-25 07:00:00 to 2022-04-27 07:00:00,0,1,0.0,-1.1009967947344546,470
473,FLOWUSDT,22,2022-04-29 03:30:00 to 2022-05-01 03:30:00,0,0,0.0,0.0,472
475,DENTUSDT,131,2022-05-03 04:00:00 to 2022-05-05 04:00:00,0,1,0.0,-0.3057821051271614,474
477,BCHUSDT,286,2022-05-07 08:45:00 to 2022-05-09 08:45:00,0,0,0.0,0.0,476
478,NEARUSDT,186,2022-05-08 08:00:00 to 2022-05-10 08:00:00,0,1,0.0,-10.928602887607507,477
479,DOTUSDT,205,2022-05-11 07:00:00 to 2022-05-13 07:00:00,1,2,50.0,10.505075485662829,478
481,DASHUSDT,273,2022-05-15 08:00:00 to 2022-05-17 08:00:00,0,0,0.0,0.0,480
483,DOGEUSDT,222,2022-05-19 09:00:00 to 2022-05-21 09:00:00,0,0,0.0,0.0,482
485,ARPAUSDT,68,2022-05-23 03:30:00 to 2022-05-25 03:30:00,0,0,0.0,0.0,484
487,CTSIUSDT,67,2022-05-27 03:30:00 to 2022-05-29 03:30:00,1,1,100.0,4.098098834669406,486
489,DOGEUSDT,226,2022-05-31 09:00:00 to 2022-06-02 09:00:00,0,0,0.0,0.0,488
491,MKRUSDT,216,2022-06-04 07:00:00 to 2022-06-06 07:00:00,0,0,0.0,0.0,490
492,ZENUSDT,182,2022-06-05 07:00:00 to 2022-06-07 07:00:00,0,0,0.0,0.0,491
493,IOTXUSDT,96,2022-06-08 03:30:00 to 2022-06-10 03:30:00,1,1,100.0,1.3895781176804345,492
495,GRTUSDT,176,2022-06-12 07:00:00 to 2022-06-14 07:00:00,0,1,0.0,-2.5816029636284266,494
497,CELRUSDT,144,2022-06-16 07:00:00 to 2022-06-18 07:00:00,0,0,0.0,0.0,496
499,ETHUSDT,308,2022-06-20 07:45:00 to 2022-06-22 07:45:00,0,0,0.0,0.0,498
501,TRXUSDT,293,2022-06-24 08:00:00 to 2022-06-26 08:00:00,0,0,0.0,0.0,500
502,TRBUSDT,216,2022-06-25 07:00:00 to 2022-06-27 07:00:00,0,1,0.0,-3.954082377833257,501
503,NEARUSDT,203,2022-06-28 08:00:00 to 2022-06-30 08:00:00,1,1,100.0,5.40182933036486,502
505,BALUSDT,219,2022-07-02 07:00:00 to 2022-07-04 07:00:00,1,1,100.0,1.3806479743415423,504
507,GTCUSDT,126,2022-07-06 03:30:00 to 2022-07-08 03:30:00,0,0,0.0,0.0,506
508,IOSTUSDT,285,2022-07-07 08:00:00 to 2022-07-09 08:00:00,0,1,0.0,-0.9802249612143599,507
509,WOOUSDT,27,2022-07-10 03:30:00 to 2022-07-12 03:30:00,0,1,0.0,-0.08404060903861588,508
511,RSRUSDT,207,2022-07-14 07:00:00 to 2022-07-16 07:00:00,0,0,0.0,0.0,510
512,KSMUSDT,209,2022-07-15 07:00:00 to 2022-07-17 07:00:00,0,0,0.0,0.0,511
513,GTCUSDT,130,2022-07-18 03:30:00 to 2022-07-20 03:30:00,1,1,100.0,1.1834627448522372,512
515,WOOUSDT,31,2022-07-22 03:30:00 to 2022-07-24 03:30:00,0,1,0.0,-1.2939867794351745,514
516,RSRUSDT,210,2022-07-23 07:00:00 to 2022-07-25 07:00:00,1,1,100.0,0.810241158832592,515
517,RUNEUSDT,226,2022-07-26 07:00:00 to 2022-07-28 07:00:00,0,1,0.0,-0.7343214294182165,516
519,ONTUSDT,296,2022-07-30 08:00:00 to 2022-08-01 08:00:00,0,1,0.0,-1.7172619817308776,518
521,BTCUSDT,349,2022-08-02 17:45:00 to 2022-08-04 17:45:00,0,0,0.0,0.0,520
523,CTSIUSDT,91,2022-08-07 03:30:00 to 2022-08-09 03:30:00,0,1,0.0,-1.5493708105520643,522
525,TRXUSDT,309,2022-08-11 08:00:00 to 2022-08-13 08:00:00,0,0,0.0,0.0,524
527,ARPAUSDT,96,2022-08-15 03:30:00 to 2022-08-17 03:30:00,0,1,0.0,-0.15365004489386047,526
528,ANKRUSDT,185,2022-08-16 07:00:00 to 2022-08-18 07:00:00,0,0,0.0,0.0,527
529,AAVEUSDT,220,2022-08-19 07:00:00 to 2022-08-21 07:00:00,1,1,100.0,5.856883998829532,528
531,VETUSDT,303,2022-08-23 08:00:00 to 2022-08-25 08:00:00,0,0,0.0,0.0,530
533,SKLUSDT,205,2022-08-27 07:30:00 to 2022-08-29 07:30:00,0,1,0.0,-0.2686349155794021,532
535,ETHUSDT,332,2022-08-31 07:45:00 to 2022-09-02 07:45:00,0,0,0.0,0.0,534
537,FLMUSDT,231,2022-09-04 07:00:00 to 2022-09-06 07:00:00,0,0,0.0,0.0,536
538,ETCUSDT,317,2022-09-05 08:00:00 to 2022-09-07 08:00:00,0,0,0.0,0.0,537
539,NEARUSDT,227,2022-09-08 08:00:00 to 2022-09-10 08:00:00,0,0,0.0,0.0,538
540,RUNEUSDT,241,2022-09-09 07:00:00 to 2022-09-11 07:00:00,0,0,0.0,0.0,539
541,DENTUSDT,175,2022-09-12 04:00:00 to 2022-09-14 04:00:00,1,1,100.0,0.38681573559753435,540
543,DUSKUSDT,80,2022-09-16 03:30:00 to 2022-09-18 03:30:00,0,1,0.0,-0.841884554093153,542
545,MKRUSDT,252,2022-09-20 07:00:00 to 2022-09-22 07:00:00,1,1,100.0,1.5727420870081943,544
546,SNXUSDT,252,2022-09-21 07:00:00 to 2022-09-23 07:00:00,1,1,100.0,2.372646644858456,545
547,ROSEUSDT,85,2022-09-24 03:30:00 to 2022-09-26 03:30:00,0,1,0.0,-3.934781511715424,546
549,RVNUSDT,190,2022-09-28 07:00:00 to 2022-09-30 07:00:00,0,1,0.0,-0.004995274295849228,548
550,GMTUSDT,62,2022-09-29 04:00:00 to 2022-10-01 04:00:00,1,1,100.0,0.7377573727446851,549
551,ALPHAUSDT,222,2022-10-02 07:00:00 to 2022-10-04 07:00:00,0,1,0.0,-0.13982924844057054,550
553,ETHUSDT,344,2022-10-06 07:45:00 to 2022-10-08 07:45:00,0,0,0.0,0.0,552
554,LPTUSDT,106,2022-10-07 03:30:00 to 2022-10-09 03:30:00,0,0,0.0,0.0,553
555,BCHUSDT,338,2022-10-10 08:45:00 to 2022-10-12 08:45:00,0,0,0.0,0.0,554
557,FLOWUSDT,78,2022-10-14 03:30:00 to 2022-10-16 03:30:00,0,0,0.0,0.0,556
558,BELUSDT,228,2022-10-15 07:00:00 to 2022-10-17 07:00:00,0,0,0.0,0.0,557
559,RSRUSDT,239,2022-10-18 07:00:00 to 2022-10-20 07:00:00,0,0,0.0,0.0,558
561,DOGEUSDT,274,2022-10-22 09:00:00 to 2022-10-24 09:00:00,0,0,0.0,0.0,560
562,XTZUSDT,326,2022-10-23 08:00:00 to 2022-10-25 08:00:00,0,0,0.0,0.0,561
563,DOTUSDT,261,2022-10-26 07:00:00 to 2022-10-28 07:00:00,0,0,0.0,0.0,562
565,1000LUNCUSDT,13,2022-10-30 13:00:00 to 2022-11-01 13:00:00,0,1,0.0,-1.359669417359266,564
567,XRPUSDT,340,2022-11-03 08:15:00 to 2022-11-05 08:15:00,0,0,0.0,0.0,566
569,ETCUSDT,338,2022-11-07 08:00:00 to 2022-11-09 08:00:00,1,1,100.0,0.7624260898537294,568
570,SUSHIUSDT,261,2022-11-08 07:00:00 to 2022-11-10 07:00:00,0,1,0.0,-6.079217527161762,569
571,CTSIUSDT,123,2022-11-11 03:30:00 to 2022-11-13 03:30:00,0,0,0.0,0.0,570
572,RLCUSDT,274,2022-11-12 07:00:00 to 2022-11-14 07:00:00,0,1,0.0,-1.1079593678727462,571
573,VETUSDT,331,2022-11-15 08:00:00 to 2022-11-17 08:00:00,0,0,0.0,0.0,572
574,WOOUSDT,70,2022-11-16 03:30:00 to 2022-11-18 03:30:00,0,0,0.0,0.0,573
575,SKLUSDT,233,2022-11-19 07:30:00 to 2022-11-21 07:30:00,0,0,0.0,0.0,574
577,STORJUSDT,262,2022-11-23 07:00:00 to 2022-11-25 07:00:00,0,0,0.0,0.0,576
578,CELOUSDT,137,2022-11-24 03:30:00 to 2022-11-26 03:30:00,0,0,0.0,0.0,577
